Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-61.2420312059038
50100000,-61.0214552150897
50200000,-61.0706009238972
50300000,-61.01538564811
50400000,-60.8153878796104
50500000,-60.45370407864
50600000,-60.7593426298669
50700000,-60.6122602901759
50800000,-60.909079603268
50900000,-60.6767446282743
51000000,-59.9622913019133
51100000,-60.1856169638824
51200000,-60.3949788321381
51300000,-60.3647513977328
51400000,-60.0897901050876
51500000,-60.7379090705479
51600000,-59.242218232749
51700000,-59.2208100364783
51800000,-60.3076860991432
51900000,-60.5199877134439
52000000,-59.8268475459086
52100000,-60.2610999866009
52200000,-60.9165683171735
52300000,-60.5423905955122
52400000,-59.8374914437973
52500000,-60.0108414230027
52600000,-59.7689522733629
52700000,-60.0723860150562
52800000,-60.6190837419667
52900000,-59.9546060983694
53000000,-60.5101230634147
53100000,-60.6834730426201
53200000,-60.9067987045892
53300000,-60.7773548411677
53400000,-60.3362978969845
53500000,-60.5074430666562
53600000,-60.5007336006102
53700000,-60.5528190554626
53800000,-61.2531185132203
53900000,-60.6011347903139
54000000,-60.0380783852664
54100000,-59.95346564903
54200000,-59.9555754211187
54300000,-60.0855641461616
54400000,-60.3294680304451
54500000,-60.1706267065744
54600000,-59.7045819210093
54700000,-59.6794990421825
54800000,-59.8293310530286
54900000,-60.3554505576247
55000000,-60.7757392046035
55100000,-59.8349254327836
55200000,-60.837283796657
55300000,-59.9170482471515
55400000,-59.9669288924702
55500000,-61.0148533200399
55600000,-60.2636531681174
55700000,-60.6516046086022
55800000,-60.4280888717432
55900000,-60.6448001051112
56000000,-60.3191281931911
56100000,-60.0515162656583
56200000,-60.5982139925688
56300000,-60.6010587011688
56400000,-60.1203151853791
56500000,-60.2128221483492
56600000,-60.2575582380893
56700000,-60.2332102957738
56800000,-61.1620750085241
56900000,-61.091426066001
57000000,-60.2167565801918
57100000,-60.5532624648904
57200000,-60.6869258724894
57300000,-60.7029994382915
57400000,-60.3200024784955
57500000,-59.8297047880599
57600000,-60.1566564981125
57700000,-60.1499470320664
57800000,-60.3718028210131
57900000,-60.4106594186633
58000000,-60.5737202867116
58100000,-59.6968459913687
58200000,-60.5257593385917
58300000,-60.5374232853264
58400000,-60.8783387890924
58500000,-60.1109700339228
58600000,-59.766924709222
58700000,-60.484127706738
58800000,-60.6354295906065
58900000,-60.1047103920532
59000000,-60.0164229732606
59100000,-60.6990839547487
59200000,-60.0720880732242
59300000,-60.0675834167119
59400000,-60.1865480940863
59500000,-60.2040915329108
59600000,-60.048189955085
59700000,-59.9951794888315
59800000,-59.8289887998484
59900000,-59.6128224281017
60000000,-59.8802442807447
60100000,-60.8693737874159
60200000,-59.6558985699295
60300000,-59.8241039935563
60400000,-59.2860354298906
60500000,-59.1514470108905
60600000,-59.8502765956258
60700000,-59.9258800188375
60800000,-59.9059416955894
60900000,-60.0734121827049
61000000,-60.1203530819788
61100000,-59.6058024866725
61200000,-60.1385364198696
61300000,-60.1141884775541
61400000,-60.1317319163786
61500000,-60.4726474201446
61600000,-60.3130711597627
61700000,-59.4611847058016
61800000,-60.3929891645969
61900000,-60.1577144435582
62000000,-59.8019101346777
62100000,-60.0311152887366
62200000,-59.7870213295632
62300000,-60.0779611505655
62400000,-60.0778661131205
62500000,-60.4922752680096
62600000,-60.1688081656232
62700000,-59.8041846186079
62800000,-60.7565672997177
62900000,-60.0244754970872
63000000,-60.0949343647204
63100000,-60.5732829960864
63200000,-59.5156143189809
63300000,-59.9212042357351
63400000,-60.2738787236808
