Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.1201938789507
50100000,-19.1230377800556
50200000,-19.1699778718342
50300000,-19.1368098838888
50400000,-19.1315694833701
50500000,-19.1542566702782
50600000,-19.1401970316247
50700000,-19.1687637106227
50800000,-19.1657281196377
50900000,-19.1803310049222
51000000,-19.1927290806731
51100000,-19.2014524738678
51200000,-19.1984168828828
51300000,-19.2071402760775
51400000,-19.2158636692722
51500000,-19.2209123799107
51600000,-19.2215514714819
51700000,-19.2332146107215
51800000,-19.2331187657814
51900000,-19.2918178417398
52000000,-19.2557101077494
52100000,-19.2556142628094
52200000,-19.2709520846052
52300000,-19.2826152238448
52400000,-19.3170613949325
52500000,-19.3000620102342
52600000,-19.2999661652941
52700000,-19.3079546219775
52800000,-19.3703283804921
52900000,-19.3334857099905
53000000,-19.3253055634269
53100000,-19.3435831312676
53200000,-19.3456920958612
53300000,-19.3522106795222
53400000,-19.3521148345821
53500000,-19.3637779738218
53600000,-19.3842603511961
53700000,-19.4098872841491
53800000,-19.3987673915406
53900000,-19.3986715466005
54000000,-19.4154792414188
54100000,-19.4300821267033
54200000,-19.4219019801397
54300000,-19.4475289130927
54400000,-19.4540474967537
54500000,-19.4862888583078
54600000,-19.4656147910533
54700000,-19.4655189461132
54800000,-19.4742423393079
54900000,-19.4792910499464
55000000,-19.5166769670791
55100000,-19.4974727728471
55200000,-19.497376927907
55300000,-19.5119798131915
55400000,-19.5383416826558
55500000,-19.5382458377157
55600000,-19.5344753102195
55700000,-19.5292349097008
55800000,-19.5761750014795
55900000,-19.5577057437587
56000000,-19.55246534324
56100000,-19.5839717682828
56200000,-19.5904903519438
56300000,-19.6109727293182
56400000,-19.6101419478669
56500000,-19.6078412933932
56600000,-19.6224441786777
56700000,-19.6480711116307
56800000,-19.6479752666906
56900000,-19.639795120127
57000000,-19.6543980054116
57100000,-19.7013380971903
57200000,-19.6791941569133
57300000,-19.6710140103497
57400000,-19.6856168956342
57500000,-19.7038944634749
57600000,-19.7229069678268
57700000,-19.7066425196397
57800000,-19.7212454049242
57900000,-19.7351133536975
58000000,-19.7680896517628
58100000,-19.7613793782217
58200000,-19.7620184697929
58300000,-19.7648623708977
58400000,-19.8206217008112
58500000,-19.7940681414668
58600000,-19.7910325504818
58700000,-19.8085751818113
58800000,-19.8106841464049
58900000,-19.84953993656
59000000,-19.8340104248841
59100000,-19.8375892625002
59200000,-19.8610113859195
59300000,-19.8807588267827
59400000,-19.875518426264
59500000,-19.872482835279
59600000,-19.8870857205636
59700000,-19.9281463202524
59800000,-19.9243757927561
59900000,-19.9184004557262
60000000,-19.933738277522
60100000,-19.9424616707167
60200000,-19.9644139211136
60300000,-19.9510892189713
60400000,-19.9656921042559
60500000,-19.9714757514057
60600000,-20.0228254622517
60700000,-20.0065610140646
60800000,-20.0123446612144
60900000,-20.0232728639427
61000000,-20.0621286540979
61100000,-20.0443943328883
61200000,-20.0442984879482
61300000,-20.040527960452
61400000,-20.0676247664275
61500000,-20.11089017565
61600000,-20.1027100290864
61700000,-20.1084936762362
61800000,-20.101783402695
61900000,-20.1259404626256
62000000,-20.1229048716406
62100000,-20.1228090267005
62200000,-20.1491708961647
62300000,-20.1990507339883
62400000,-20.1769067937114
62500000,-20.1635820915691
62600000,-20.1870042149885
62700000,-20.2104263384078
62800000,-20.2389930174057
62900000,-20.224198442241
63000000,-20.2218977877672
63100000,-20.2423801651416
63200000,-20.2834407648305
63300000,-20.2833449198904
63400000,-20.2803093289054
