Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-18.1034317165117
50100000,-18.0974579615131
50200000,-18.0951588890706
50300000,-18.0972694356954
50400000,-18.092030617208
50500000,-18.1000206559227
50600000,-18.0947818374353
50700000,-18.0946875745265
50800000,-18.0945933116177
50900000,-18.0937641121976
51000000,-18.0877903571989
51100000,-18.0913707768463
51200000,-18.0853970218476
51300000,-18.0823630128939
51400000,-18.0969674802097
51500000,-18.0954033442784
51600000,-18.0879597162573
51700000,-18.0908051993934
51800000,-18.0936506825295
51900000,-18.0987009751993
52000000,-18.0934621567118
52100000,-18.093367893803
52200000,-18.0873941388044
52300000,-18.0902396219405
52400000,-18.0960248511215
52500000,-18.0922559056565
52600000,-18.089956833214
52700000,-18.095742062395
52800000,-18.0897683073964
52900000,-18.0867342984426
53000000,-18.0888448450675
53100000,-18.0828710900688
53200000,-18.1011502399408
53300000,-18.0944415484309
53400000,-18.0950822220333
53500000,-18.0971927686582
53600000,-18.0853395215697
53700000,-18.0830404491272
53800000,-18.0858859322633
53900000,-18.0850567328432
54000000,-18.1003961366702
54100000,-18.0848682070256
54200000,-18.0796293885381
54300000,-18.1001133479438
54400000,-18.0941395929451
54500000,-18.105804314216
54600000,-18.0932161306163
54700000,-18.0879773121288
54800000,-18.0930276047986
54900000,-18.0907285323561
55000000,-18.0818150313125
55100000,-18.0817207684037
55200000,-18.0904457436297
55300000,-18.0962309728107
55400000,-18.090257217812
55500000,-18.0901629549032
55600000,-18.0893337554831
55700000,-18.0870346830406
55800000,-18.0898801661767
55900000,-18.0861112207118
56000000,-18.0838121482693
56100000,-18.091802186984
56200000,-18.0895031145415
56300000,-18.0886739151214
56400000,-18.083435096634
56500000,-18.0855456432589
56600000,-18.0972103645297
56700000,-18.0860920539525
56800000,-18.0889375370886
56900000,-18.0888432741797
57000000,-18.0938935668496
57100000,-18.091594494407
57200000,-18.0790063108073
57300000,-18.070827746275
57400000,-18.0854322135907
57500000,-18.0875427602156
57600000,-18.0852436877731
57700000,-18.0910289169541
57800000,-18.0879949080004
57900000,-18.0930452006702
58000000,-18.0878063821827
58100000,-18.0877121192739
58200000,-18.0898226658988
58300000,-18.0875235934563
58400000,-18.0837546479913
58500000,-18.0814555755488
58600000,-18.0784215665951
58700000,-18.0812670497312
58800000,-18.0870522789122
58900000,-18.0898977620483
59000000,-18.0743698324037
59100000,-18.0742755694948
59200000,-18.0778559891422
59300000,-18.0762918532109
59400000,-18.0688482251898
59500000,-18.0805129464606
59600000,-18.0804186835518
59700000,-18.0773846745981
59800000,-18.0772904116893
59900000,-18.0801358948254
60000000,-18.0800416319166
60100000,-18.0762726864516
60200000,-18.076913360054
60300000,-18.0768190971452
60400000,-18.07892964377
60500000,-18.0847148729511
60600000,-18.0816808639973
60700000,-18.0793817915548
60800000,-18.079287528646
60900000,-18.0762535196923
61000000,-18.074689383761
61100000,-18.0635710731837
61200000,-18.070091238876
61300000,-18.0699969759671
61400000,-18.0757822051482
61500000,-18.0690735136383
61600000,-18.0667744411958
61700000,-18.066680178287
61800000,-18.0783448995578
61900000,-18.078250636649
62000000,-18.0752166276953
62100000,-18.0780621108314
62200000,-18.0779678479226
62300000,-18.0837530771036
62400000,-18.0689600839701
62500000,-18.0651911385052
62600000,-18.0658318121076
62700000,-18.0679423587325
62800000,-18.0685830323349
62900000,-18.0743682615159
63000000,-18.0705993160509
63100000,-18.0683002436084
63200000,-18.0645312981434
63300000,-18.0622322257009
63400000,-18.065077708837
