Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-17.9260955254839
50100000,-17.9289409481952
50200000,-17.9376658629964
50300000,-17.9375715396627
50400000,-17.9426217719077
50500000,-17.9344431469506
50600000,-17.9424331252405
50700000,-17.9401339923732
50800000,-17.9451842246182
50900000,-17.9362706631498
51000000,-17.9398510223723
51100000,-17.9368169529937
51200000,-17.923493772458
51300000,-17.9131103379671
51400000,-17.9387387925266
51500000,-17.9305601675694
51600000,-17.9444296379492
51700000,-17.9391907590369
51800000,-17.9361566896584
51900000,-17.9404719853922
52000000,-17.9330282969462
52100000,-17.9410182752361
52200000,-17.9416588884137
52300000,-17.9415645650801
52400000,-17.9385304957016
52500000,-17.9465204739915
52600000,-17.9471610871691
52700000,-17.9441270177906
52800000,-17.9403580119008
52900000,-17.9373239425222
53000000,-17.9460488573234
53100000,-17.937135295855
53200000,-17.9576191948358
53300000,-17.9465008238337
53400000,-17.9552257386349
53500000,-17.9485169867002
53600000,-17.9462178538329
53700000,-17.9461235304992
53800000,-17.9511737627442
53900000,-17.945934883832
54000000,-17.9561296716556
54100000,-17.9486859832097
54200000,-17.9603506440557
54300000,-17.956581638166
54400000,-17.9535475687874
54500000,-17.9512484359201
54600000,-17.9562986681651
54700000,-17.9539995352978
54800000,-17.959784704054
54900000,-17.9560156981642
55000000,-17.9500418827407
55100000,-17.9499475594071
55200000,-17.9586724742083
55300000,-17.9593130873859
55400000,-17.9555440814961
55500000,-17.9561846946737
55600000,-17.9619698634299
55700000,-17.9589357940514
55800000,-17.9647209628076
55900000,-17.955072464828
56000000,-17.9557130780056
56100000,-17.9519440721158
56200000,-17.9547894948271
56300000,-17.9524903619598
56400000,-17.9641550228059
56500000,-17.9581812073824
56600000,-17.9654362491611
56700000,-17.9601973702489
56800000,-17.9637777294714
56900000,-17.9658882156715
57000000,-17.9635890828041
57100000,-17.9664345055154
57200000,-17.9663401821818
57300000,-17.9596314302471
57400000,-17.9565973608686
57500000,-17.9513584819563
57600000,-17.9652279523361
57700000,-17.9680733750474
57800000,-17.9628344961352
57900000,-17.9715594109363
58000000,-17.9714650876027
58100000,-17.9713707642691
58200000,-17.9712764409354
58300000,-17.9741218636467
58400000,-17.9644733656671
58500000,-17.9621742327998
58600000,-17.9789834492245
58700000,-17.9796240624021
58800000,-17.9707105009337
58900000,-17.9676764315552
59000000,-17.9617026161317
59100000,-17.9704275309328
59200000,-17.9732729536441
59300000,-17.9761183763554
59400000,-17.9752891165106
59500000,-17.9788694757331
59600000,-17.9751004698433
59700000,-17.972801336976
59800000,-17.9756467596873
59900000,-17.9843716744885
60000000,-17.9813376051099
60100000,-17.9753637896864
60200000,-17.9752694663528
60300000,-17.9869341271989
60400000,-17.9868398038653
60500000,-17.9838057344867
60600000,-17.9917957127766
60700000,-17.9828821513082
60800000,-17.9798480819297
60900000,-17.9885729967308
61000000,-17.9848039908411
61100000,-17.9803000484401
61200000,-17.9971092648647
61300000,-17.9918703859525
61400000,-17.9947158086638
61500000,-17.9946214853302
61600000,-17.9908524794404
61700000,-17.9885533465731
61800000,-17.996543324863
61900000,-17.9883646999058
62000000,-17.9904751861059
62100000,-17.9911157992835
62200000,-17.9998407140847
62300000,-18.0019512002847
62400000,-17.9967123213725
62500000,-18.0017625536175
62600000,-17.9965236747053
62700000,-17.9934896053267
62800000,-18.0007446471054
62900000,-17.9962407047044
63000000,-18.0020258734606
63100000,-18.0048712961719
63200000,-18.0047769728383
63300000,-18.0068874590384
63400000,-18.004588326171
