Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-24.1034844838945
50100000,-24.0864859066913
50200000,-24.0797764406453
50300000,-24.0921753238912
50400000,-24.0913453499351
50500000,-24.113298407827
50600000,-24.0977697036462
50700000,-24.0741566978419
50800000,-24.0975796287563
50900000,-24.0908701627103
51000000,-24.102534109445
51100000,-24.0884752782867
51200000,-24.0883802408418
51300000,-24.0904900129305
51400000,-24.0852504199069
51500000,-24.085155382462
51600000,-24.0835904719946
51700000,-24.0761460694373
51800000,-24.0870750796608
51900000,-24.0928595343057
52000000,-24.093499433372
52100000,-24.093404395927
52200000,-24.0896346759259
52300000,-24.0924793845259
52400000,-24.0931192835922
52500000,-24.1069880398606
52600000,-24.1076279389269
52700000,-24.0987136633472
52800000,-24.0934740703236
52900000,-24.0830899217214
53000000,-24.0771153921866
53100000,-24.0983335135674
53200000,-24.0886843014764
53300000,-24.0893242005427
53400000,-24.1002532107662
53500000,-24.0979533637876
53600000,-24.0978583263426
53700000,-24.0837994951843
53800000,-24.0770900291383
53900000,-24.1152116902773
54000000,-24.0967432400516
54100000,-24.0944433930729
54200000,-24.0972881016729
54300000,-24.0854340800483
54400000,-24.0963630902718
54500000,-24.0911234972482
54600000,-24.0954380788707
54700000,-24.0872587398022
54800000,-24.1025973690931
54900000,-24.1039722046706
55000000,-24.0877085639785
55100000,-24.0839388439774
55200000,-24.0933979811785
55300000,-24.0727247214191
55400000,-24.0726296839741
55500000,-24.0835586941976
55600000,-24.0636203709495
55700000,-24.0863083653527
55800000,-24.0810687723291
55900000,-24.0831785444178
56000000,-24.0808786974392
56100000,-24.0918077076627
56200000,-24.1034716543975
56300000,-24.0776538390594
56400000,-24.0922575318391
56500000,-24.0914275578829
56600000,-24.0964770760166
56700000,-24.0794784988133
56800000,-24.0742389057897
56900000,-24.0829631064796
57000000,-24.106386037394
57100000,-24.0974717618143
57200000,-24.0907622957683
57300000,-24.0884624487896
57400000,-24.1177648717939
57500000,-24.0882723738997
57600000,-24.0911170824997
57700000,-24.0961666006333
57800000,-24.1019510552782
57900000,-24.1055307003894
58000000,-24.0730984564503
58100000,-24.0700636729605
58200000,-24.0868721752738
58300000,-24.1110300426995
58400000,-24.0925615924738
58500000,-24.0990809836299
58600000,-24.0982510096737
58700000,-24.1077101468747
58800000,-24.0951211887389
58900000,-24.092086405249
59000000,-24.0897865582703
59100000,-24.0896915208254
59200000,-24.0800423087345
59300000,-24.0777424617558
59400000,-24.0916112180242
59500000,-24.0893113710456
59600000,-24.0980355717354
59700000,-24.0950007882455
59800000,-24.1007852428904
59900000,-24.07349755453
60000000,-24.0645832789502
60100000,-24.0850664638197
60200000,-24.0798268707962
60300000,-24.07899689684
60400000,-24.0759621133501
60500000,-24.0824815045062
60600000,-24.0823864670613
60700000,-24.0808215565939
60800000,-24.0667627254355
60900000,-24.0938603389061
61000000,-24.0871508728601
61100000,-24.0841160893702
61200000,-24.0876957344814
61300000,-24.0964199351712
61400000,-24.0867707230803
61500000,-24.0859407491241
61600000,-24.075556600522
61700000,-24.0842808012118
61800000,-24.0834508272556
61900000,-24.0804160437657
62000000,-24.0920799905004
62100000,-24.0897801435218
62200000,-24.0830706774758
62300000,-24.0726865288736
62400000,-24.0689168088725
62500000,-24.0857253111859
62600000,-24.0863652102521
62700000,-24.092149664897
62800000,-24.0817655162948
62900000,-24.0772608597825
63000000,-24.0734911397814
63100000,-24.0770707848926
63200000,-24.0887347316273
63300000,-24.0908445037161
63400000,-24.0767856725578
