Trace
Swept SA
A.08.55,N9000A
503 FSA ,01
Segment,0
Number of Points,1501
Sweep Time,0.001
Start Frequency,50000000
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
50000000,-19.0249540853594
50100000,-19.0314725481708
50200000,-19.0548945507405
50300000,-19.0518588389059
50400000,-19.0686664128745
50500000,-19.0656307010399
50600000,-19.0772937194299
50700000,-19.0749929441066
50800000,-19.1153184864346
50900000,-19.0939093618192
51000000,-19.0864640309172
51100000,-19.0951873032623
51200000,-19.1509465123261
51300000,-19.1229229591097
51400000,-19.1125378821628
51500000,-19.1388996307774
51600000,-19.1446831570776
51700000,-19.1534064294227
51800000,-19.153310463633
51900000,-19.1561542438882
52000000,-19.1589980241435
52100000,-19.1941790108929
52200000,-19.1940830451032
52300000,-19.1881075872237
52400000,-19.1813971928329
52500000,-19.2408310844529
52600000,-19.1929642454332
52700000,-19.1906634701099
52800000,-19.2111457266346
52900000,-19.2316279831594
53000000,-19.2337368269034
53100000,-19.2336408611138
53200000,-19.2430990699701
53300000,-19.2569668978938
53400000,-19.2634853607052
53500000,-19.2633893949155
53600000,-19.2779921593504
53700000,-19.2742215110046
53800000,-19.3160169263551
53900000,-19.2946078017397
54000000,-19.2915720899051
54100000,-19.3120543464299
54200000,-19.3097535711065
54300000,-19.3331755736762
54400000,-19.3301398618416
54500000,-19.3329836420969
54600000,-19.3328876763072
54700000,-19.3680686630566
54800000,-19.3466595384412
54900000,-19.3443587631178
55000000,-19.3589615275528
55100000,-19.4235399747514
55200000,-19.402130850136
55300000,-19.3968903287677
55400000,-19.4085533471577
55500000,-19.4055176353231
55600000,-19.4127710346458
55700000,-19.4075305132775
55800000,-19.4228682142236
55900000,-19.4374709786586
56000000,-19.469712219363
56100000,-19.4666765075284
56200000,-19.4636407956938
56300000,-19.4664845759491
56400000,-19.481087340384
56500000,-19.4942202317965
56600000,-19.4889797104282
56700000,-19.5035824748631
56800000,-19.4983419534948
56900000,-19.5364626862891
57000000,-19.5297522918984
57100000,-19.527451516575
57200000,-19.539114534965
57300000,-19.5618016010235
57400000,-19.5565610796552
57500000,-19.5527904313094
57600000,-19.5762124338791
57700000,-19.6062488650498
57800000,-19.5818999943896
57900000,-19.5795992190662
58000000,-19.5942019835011
58100000,-19.611744493981
58200000,-19.652070036309
58300000,-19.6291910386712
58400000,-19.6290950728815
58500000,-19.6407580912715
58600000,-19.6634451573299
58700000,-19.6611443820066
58800000,-19.6639881622618
58900000,-19.6815306727417
59000000,-19.7225911515809
59100000,-19.7158807571901
59200000,-19.7077004897769
59300000,-19.716423762122
59400000,-19.7273518440008
59500000,-19.7382799258796
59600000,-19.7300996584664
59700000,-19.7513168515024
59800000,-19.7629798698924
59900000,-19.7944861740856
60000000,-19.791450462251
60100000,-19.7891496869277
60200000,-19.7853790385818
60300000,-19.8330539460221
60400000,-19.8145845674517
60500000,-19.8093440460834
60600000,-19.8349708581868
60700000,-19.8326700828634
60800000,-19.8553571489219
60900000,-19.8523214370873
61000000,-19.8559001538538
61100000,-19.8734426643336
61200000,-19.9078887145718
61300000,-19.8901542725126
61400000,-19.9018172909026
61500000,-19.9076008172027
61600000,-19.9523359785981
61700000,-19.9397460921175
61800000,-19.9345055707492
61900000,-19.9432288430943
62000000,-19.9725303377539
62100000,-19.9775789275428
62200000,-19.9745432157082
62300000,-19.9862062340982
62400000,-19.9956644429545
62500000,-20.0301104931927
62600000,-20.0278097178693
62700000,-20.0335932441695
62800000,-20.0217382942001
62900000,-20.0686782651292
63000000,-20.0590281246935
63100000,-20.0537876033252
63200000,-20.0801493519398
63300000,-20.0947521163748
63400000,-20.126258420568
